Age,Buyer.County of Origin,Buyer.Full Name,Buyer.Origin,Buyer.State of Origin,Date,Discount Rate,Gender,Name,Number of Adult Slaves,Number of Child Slaves,Number of Total Slaves Purchased,Payment Method,Predicted Interest Rate,Price,Prices Listed,Seller.County of Origin,Seller.Full Name,Seller.Origin,Seller.State of Origin,Skin Color
50.0,Unknown,Francois Cousin,"Unknown, Unknown",Unknown,12/21/1857,0.00602698,M,Piere,1,0,1,Cash,0.07477,400.0,1,Unknown,Achille Brouet,"Unknown, Unknown",Unknown,Black
34.0,Unknown,James Saufley,"Unknown, Unknown",Unknown,12/31/1857,0.00602698,F,Clara,1,0,1,Cash,0.07477,570.0,1,Unknown,Richard K. Bonham,"Unknown, Unknown",Unknown,Griff
37.0,New Orleans,Adrien Cassard,"New Orleans, LA",LA,1/2/1858,0.00602698,F,Holiday/Olida,1,1,2,Cash,0.07477,1200.0,1,New Orleans,Jeanne Aimee Andry,"New Orleans, LA",LA,Negro
42.0,New Orleans,William Daniel Mann,"New Orleans, LA",LA,12/30/1857,0.00602698,F,Harriet,1,0,1,Cash,0.07477,250.0,1,New Orleans,John Bartholomi Pigniolo,"New Orleans, LA",LA,Negro
23.0,New Orleans,Joseph Walsh,"New Orleans, LA",LA,12/21/1857,0.00602698,F,Sylvia Ann,1,0,1,Cash,0.07477,630.0,1,Mocksville ,John W. Hall,"Mocksville , NC",NC,Negro
41.0,New Orleans,Oscar Perrault,"New Orleans, LA",LA,1/6/1858,0.00602698,F,Easter,1,0,1,Cash,0.07477,500.0,1,New Orleans,Theophile Perrault,"New Orleans, LA",LA,Negro
20.0,New Orleans,Edward Ames,"New Orleans, LA",LA,1/6/1858,0.00602698,F,Louisa,1,0,1,Cash,0.07477,850.0,1,New Orleans,Anthony Barrera,"New Orleans, LA",LA,Negro
24.0,New Orleans,James H. Beard,"New Orleans, LA",LA,12/30/1857,0.006085532,F,Mary,1,0,1,Credit,0.07552088,1250.0,1,New Orleans,James A. Lusk,"New Orleans, LA",LA,Mulatto
25.0,New Orleans,Peyton W. Reynolds,"New Orleans, LA",LA,1/7/1858,0.006187909,F,Ellen,1,0,1,Credit,0.07683492,1250.0,1,New Orleans,Bernard Kendig,"New Orleans, LA",LA,Negro
30.0,New Orleans,Edward S. Riggs,"New Orleans, LA",LA,1/7/1858,0.00602698,F,Elizabeth,1,0,1,Cash,0.07477,900.0,1,New Orleans,Nelson Clement Trowbridge,"New Orleans, LA",LA,Negro
26.0,New Orleans,John Keelty,"New Orleans, LA",LA,1/7/1858,0.006290171,F,Edy Williams,1,0,1,Credit,0.07814896,1200.0,1,New Orleans,George Heation,"New Orleans, LA",LA,Negro
