Age Adjusted CI Lower,Age Adjusted CI Upper,Age Adjusted Rate,Area,Count,Crude CI Lower,Crude CI Upper,Crude Rate,Event Type,Population,Race,Sex,Year
139.8,245.9,187.9,Alabama,69,69.1,112.3,88.8,Incidence,77734,Hispanic,Female,2009
0,0,0,Alabama,0,0,0,0,Mortality,77734,Hispanic,Female,2009
140.8,242.1,186.9,Alabama,71,67.4,108.9,86.3,Incidence,82236,Hispanic,Female,2010
31.3,94.4,57.5,Alabama,17,12.0,33.1,20.7,Mortality,82309,Hispanic,Female,2010
174.5,278.7,222.5,Alabama,94,88.8,134.5,109.9,Incidence,85513,Hispanic,Female,2011
31.3,94.4,57.5,Alabama,17,12.0,33.1,20.7,Mortality,82309,Hispanic,Female,2011
0,0,0,Alabama,0,0,0,0,Mortality,37082,Hispanic,Male,1999
177.1,352.2,254.9,Alabama,43,70.9,132.0,98.0,Incidence,43869,Hispanic,Male,2000
0,0,0,Alabama,0,0,0,0,Mortality,43869,Hispanic,Male,2000
165.6,338.0,242.1,Alabama,41,60.4,114.2,84.2,Incidence,48688,Hispanic,Male,2001
0,0,0,Alabama,0,0,0,0,Mortality,48688,Hispanic,Male,2001
143.2,286.5,206.6,Alabama,48,66.3,119.2,89.9,Incidence,53376,Hispanic,Male,2002
0,0,0,Alabama,0,0,0,0,Mortality,53376,Hispanic,Male,2002
123.5,258.2,182.8,Alabama,41,50.3,95.0,70.0,Incidence,58545,Hispanic,Male,2003
0,0,0,Alabama,0,0,0,0,Mortality,58545,Hispanic,Male,2003
226.5,404.6,307.4,Alabama,69,84.0,136.7,108.0,Incidence,63893,Hispanic,Male,2004
0,0,0,Alabama,0,0,0,0,Mortality,63893,Hispanic,Male,2004
224.4,396.2,302.6,Alabama,71,78.8,127.3,100.9,Incidence,70344,Hispanic,Male,2005
46.4,146.8,87.9,Alabama,18,15.2,40.4,25.6,Mortality,70344,Hispanic,Male,2005
201.8,369.1,277.7,Alabama,66,65.9,108.4,85.2,Incidence,77478,Hispanic,Male,2006
0,0,0,Alabama,0,0,0,0,Mortality,77478,Hispanic,Male,2006
162.0,296.5,222.8,Alabama,69,63.7,103.6,81.9,Incidence,84275,Hispanic,Male,2007
0,0,0,Alabama,0,0,0,0,Mortality,84275,Hispanic,Male,2007
213.7,272.6,242.0,Alabama,405,75.6,92.0,83.5,Incidence,485102,Hispanic,Male,2009
66.0,106.5,84.8,Alabama,97,17.2,25.9,21.3,Mortality,456381,Hispanic,Male,2009
256.1,430.2,336.2,Alabama,87,76.2,117.3,95.1,Incidence,91450,Hispanic,Male,2008
67.7,172.5,112.8,Alabama,27,19.5,43.0,29.5,Mortality,91450,Hispanic,Male,2008
168.7,300.3,228.5,Alabama,69,54.3,88.4,69.8,Incidence,98784,Hispanic,Male,2009
61.2,166.0,106.0,Alabama,23,14.8,34.9,23.3,Mortality,98784,Hispanic,Male,2009
172.1,295.1,228.3,Alabama,93,72.0,109.2,89.2,Incidence,104292,Hispanic,Male,2010
51.3,138.9,88.6,Alabama,23,14.0,33.1,22.0,Mortality,104394,Hispanic,Male,2010
158.2,268.9,208.8,Alabama,87,65.6,101.0,81.8,Incidence,106301,Hispanic,Male,2011
51.3,138.9,88.6,Alabama,23,14.0,33.1,22.0,Mortality,104394,Hispanic,Male,2011
43.3,128.2,78.7,Alabama,17,15.2,41.8,26.1,Mortality,65183,Hispanic,Male and Female,1999
153.0,253.2,198.9,Alabama,75,76.6,122.1,97.4,Incidence,77016,Hispanic,Male and Female,2000
0,0,0,Alabama,0,0,0,0,Mortality,77016,Hispanic,Male and Female,2000
168.9,274.3,217.4,Alabama,83,77.1,120.0,96.8,Incidence,85722,Hispanic,Male and Female,2001
38.6,105.9,67.1,Alabama,18,12.4,33.2,21.0,Mortality,85722,Hispanic,Male and Female,2001
