quantity,questions,exclaims,hour,month,day,length
SINGLE,0.0,1.0,Morning,FALL,Day,436
LONG,0.0,0.0,Morning,SPRING,Day,347
SINGLE,0.0,0.0,Morning,WINTER,Day,653
SINGLE,0.0,0.0,Morning,WINTER,Day,826
SINGLE,0.0,0.0,Evening,FALL,Day,2002
SINGLE,2.0,0.0,Morning,FALL,Day,1291
LONG,0.0,0.0,Morning,FALL,Day,351
SINGLE,0.0,1.0,Morning,FALL,Day,282
SINGLE,0.0,0.0,Morning,WINTER,End,490
SINGLE,9.0,1.0,Evening,SUMMER,Day,6986
SINGLE,0.0,2.0,Evening,WINTER,Day,1907
SINGLE,0.0,0.0,Morning,SUMMER,Day,626
SHORT,2.0,2.0,Morning,FALL,End,9035
SINGLE,0.0,0.0,Evening,SPRING,Day,224
SINGLE,0.0,0.0,SmallHours,SPRING,Day,201
SINGLE,0.0,1.0,Evening,WINTER,Day,536
SHORT,1.0,1.0,SmallHours,SPRING,Day,253
SINGLE,1.0,0.0,Evening,FALL,Day,758
SINGLE,0.0,0.0,Evening,SPRING,Day,641
SINGLE,1.0,0.0,Night,FALL,Day,621
SINGLE,0.0,0.0,SmallHours,WINTER,Day,185
SINGLE,0.0,0.0,SmallHours,SPRING,Day,551
SINGLE,1.0,0.0,Evening,SPRING,Day,359
SINGLE,0.0,0.0,Evening,FALL,Day,286
SINGLE,10.0,1.0,Night,FALL,Day,1717
SHORT,1.0,1.0,Evening,SUMMER,End,840
SINGLE,1.0,2.0,Morning,WINTER,Day,1423
SINGLE,0.0,3.0,Morning,WINTER,End,1592
SHORT,0.0,0.0,Morning,SPRING,Day,1238
SHORT,0.0,0.0,Morning,FALL,Day,1171
SINGLE,0.0,0.0,Morning,FALL,Day,273
SHORT,1.0,0.0,Morning,SUMMER,Day,1011
SHORT,1.0,0.0,Evening,SUMMER,Day,579
SHORT,1.0,0.0,Morning,WINTER,Day,1038
SHORT,5.0,0.0,Evening,WINTER,Day,1040
SINGLE,4.0,0.0,Morning,SUMMER,End,4033
SINGLE,0.0,1.0,Night,WINTER,End,1304
LONG,0.0,3.0,Evening,FALL,End,394
SINGLE,0.0,0.0,Night,SPRING,Day,294
SINGLE,0.0,0.0,Morning,SUMMER,Day,1021
SINGLE,0.0,6.0,Evening,FALL,Day,1188
SINGLE,0.0,0.0,SmallHours,FALL,Day,1141
SINGLE,0.0,0.0,Evening,FALL,Day,0
SHORT,1.0,0.0,,WINTER,Day,573
SINGLE,0.0,0.0,Evening,FALL,Day,1177
SINGLE,0.0,0.0,Morning,FALL,Day,1534
SHORT,4.0,0.0,Morning,FALL,End,1741
SINGLE,0.0,0.0,Morning,SPRING,Day,1139
SINGLE,1.0,0.0,Morning,SPRING,End,612
LONG,1.0,0.0,SmallHours,SUMMER,Day,798
SINGLE,0.0,0.0,Morning,SUMMER,Day,1263
SINGLE,0.0,0.0,SmallHours,FALL,Day,1280
SINGLE,0.0,0.0,SmallHours,WINTER,Day,979
LONG,1.0,1.0,Morning,FALL,End,580
SINGLE,0.0,0.0,Evening,WINTER,Day,200
SINGLE,1.0,6.0,Evening,SUMMER,Day,1105
SINGLE,0.0,1.0,Morning,FALL,Day,680
SINGLE,0.0,0.0,Evening,FALL,Day,108
SINGLE,4.0,0.0,Morning,WINTER,Day,1421
SINGLE,3.0,0.0,Morning,SUMMER,Day,1573
SHORT,2.0,0.0,Evening,FALL,Day,1996
SHORT,0.0,1.0,Morning,SPRING,Day,830
SINGLE,0.0,1.0,Night,WINTER,Day,565
SINGLE,0.0,0.0,Morning,WINTER,Day,282
SINGLE,1.0,0.0,SmallHours,FALL,Day,998
SINGLE,0.0,0.0,Night,WINTER,End,577
SINGLE,0.0,0.0,Evening,WINTER,Day,572
SINGLE,0.0,0.0,Night,WINTER,End,1986
SINGLE,0.0,0.0,Evening,FALL,Day,756
SHORT,0.0,1.0,Morning,WINTER,Day,691
SINGLE,0.0,0.0,Morning,WINTER,Day,495
SINGLE,0.0,1.0,SmallHours,WINTER,Day,1467
SINGLE,4.0,0.0,SmallHours,WINTER,Day,3118
SINGLE,0.0,0.0,SmallHours,SPRING,Day,743
SHORT,2.0,0.0,Evening,WINTER,Day,906
SINGLE,0.0,1.0,Evening,SUMMER,Day,664
SINGLE,1.0,0.0,Evening,FALL,Day,625
SINGLE,1.0,0.0,Morning,SUMMER,Day,322
SINGLE,0.0,2.0,Evening,SUMMER,Day,1975
SINGLE,6.0,0.0,Evening,FALL,Day,4477
LONG,5.0,0.0,SmallHours,FALL,Day,3598
SINGLE,6.0,1.0,Evening,WINTER,End,670
LONG,0.0,0.0,Evening,WINTER,End,826
SINGLE,2.0,3.0,Evening,SPRING,Day,609
SHORT,2.0,0.0,Evening,FALL,Day,756
SHORT,12.0,0.0,Night,WINTER,Day,2594
SINGLE,1.0,0.0,Morning,FALL,Day,1032
SHORT,3.0,0.0,Night,SUMMER,Day,2891
SHORT,3.0,1.0,Morning,WINTER,Day,2641
SINGLE,0.0,1.0,SmallHours,FALL,Day,627
SINGLE,0.0,0.0,Evening,FALL,Day,230
SINGLE,0.0,0.0,Morning,FALL,End,2748
