2010 Population,2014 Population,Accommodation and Food Services Sales,American Indian and Alaska Native Alone,American Indian-Owned,Asian Alone,Asian-Owned,Bachelor's Degree or Higher,Black Alone,Black-Owned,Building Permits,County,Foreign Born,High School or Higher,Hispanic or Latino,Hispanic-Owned,Homeownership Rate,Households,Housing Units,Land Area,Language Other than English at Home,Living in Same House +1 Years,Manufacturers Shipments,Mean Travel Time to Work,Median Houseold Income,Median Value of Owner-Occupied Units,Merchant Wholesaler Sales,Native Hawaiian and Other Pacific Islander Alone,Native Hawaiian and Other Pacific Islander-Owned,Nonemployer Establishments,Per Capita Income,Percent 65 and Older,Percent Female,Percent Under 18 Years,Percent Under 5 Years,Persons Below Poverty Level,Persons per Household,Population Percent Change,Population per Square Mile,Private Non-farm Employment,Private Non-farm Employment Percent Change,Private Non-farm Establishments,Retail Sales,Retail Sales per Capita,State,Total,Two or More Races,Units in Multi-Unit Structures,Veterans,White Alone,"White Alone, not Hispanic or Latino",Women-Owned
5441,5851,2915,1.2,0.0,1.5,0.0,29.1,1.8,0.0,13,Gilpin County,2.6,94.4,6.4,0.0,75.5,2504,3581,149.9,4.3,86.5,0,32.0,63885,281700,0,0.3,0.0,493,38022,13.2,47.3,18.7,3.8,10.8,2.16,7.5,36.3,4970,4.9,111,32,636,CO,723,2.2,10.6,722,93.1,87.4,0.0
14843,14546,738,0.8,0.0,0.9,0.0,32.8,0.5,0.0,137,Grand County,4.7,94.4,8.0,0.0,74.9,5227,16724,1846.33,9.6,83.8,0,18.8,64664,282000,51,0.1,0.0,1803,31684,13.9,47.0,18.4,4.2,11.1,2.72,-2.0,8.0,7582,5.5,797,1931,14227,CO,2624,2.0,30.4,1467,95.6,88.8,22.5
15324,15725,896,2.5,0.0,0.7,0.0,54.5,0.5,0.0,58,Gunnison County,4.3,93.3,9.3,0.0,59.1,6293,11574,3239.1,9.2,73.3,0,13.4,52332,329500,0,0.0,0.0,2243,27654,11.2,45.9,17.9,4.8,17.7,2.27,2.6,4.7,6056,-1.6,1053,2115,14116,CO,3300,1.8,28.3,1031,94.5,87.5,21.3
843,786,35,1.1,0.0,0.6,0.0,42.2,0.5,0.0,6,Hinsdale County,1.7,93.8,3.7,0.0,78.9,388,1413,1117.25,9.1,87.1,0,8.2,56667,261700,0,0.0,0.0,167,36365,25.7,48.2,18.7,6.2,5.1,2.06,-6.8,0.8,183,3.4,75,78,9362,CO,326,1.8,4.9,111,95.9,92.6,0.0
6711,6462,97,5.4,0.0,1.1,0.0,28.0,1.0,0.0,13,Huerfano County,4.8,84.7,34.4,0.0,72.5,3059,5128,1591.0,14.9,81.3,0,22.9,33298,152400,0,0.2,0.0,580,24058,29.7,49.6,15.5,3.8,20.6,2.0,-3.7,4.2,1188,0.3,156,553,7180,CO,938,3.0,7.5,832,89.3,61.7,0.0
1394,1396,24,1.7,0.0,0.4,0.0,22.2,0.1,0.0,0,Jackson County,3.0,88.7,11.0,0.0,72.2,648,1290,1613.72,7.0,87.8,0,18.9,43606,123200,0,0.0,0.0,175,25936,20.9,46.7,17.8,3.4,8.9,2.08,0.1,0.9,279,3.7,71,193,14149,CO,127,1.9,3.5,145,95.9,86.3,0.0
534543,558503,9604,1.2,0.6,2.8,2.7,40.7,1.3,0.6,2519,Jefferson County,6.2,93.7,15.2,5.2,70.6,219562,233275,764.21,10.3,84.1,65666,26.2,68984,262400,25140,0.1,0.0,51004,36087,14.7,50.3,20.9,5.3,8.6,2.42,4.5,699.5,188932,0.4,16222,72821,13782,CO,62249,2.3,25.1,42215,92.2,78.8,30.2
1398,1402,0,0.9,0.0,0.0,0.0,20.6,0.7,0.0,0,Kiowa County,2.7,92.2,6.3,0.0,72.8,559,811,1767.77,4.0,92.0,0,17.2,40813,79400,270,0.3,0.0,145,22482,24.1,50.8,20.5,6.4,17.4,2.49,0.3,0.8,0,0.0,36,80,6158,CO,0,1.5,5.2,83,96.6,91.4,0.0
8270,8072,103,1.1,0.0,0.6,0.0,13.5,2.5,0.0,2,Kit Carson County,9.0,84.0,19.3,0.0,65.8,3046,3514,2160.82,15.2,83.2,0,12.5,44157,121600,1663,0.2,0.0,657,21850,17.2,44.8,22.5,6.2,13.8,2.43,-2.4,3.8,1952,0.7,263,843,10717,CO,834,1.5,11.2,799,94.1,76.1,39.3
7310,7357,125,2.6,0.0,0.6,0.0,28.1,0.7,0.0,0,Lake County,15.0,86.8,37.8,0.0,65.6,3079,4273,376.91,28.8,75.8,0,29.3,44610,164400,0,0.1,0.0,608,25029,11.0,46.7,23.1,6.5,14.3,2.33,0.6,19.4,1226,-1.0,205,513,6540,CO,796,2.2,12.2,516,93.9,59.2,26.6
