Affirmative,Apprehended,Arrived,Country,Criminal,Defensive Asylum,Inadmissable,Legal permanant residences.Birth,Legal permanant residences.Last Residence,Naturalizations (Birth),Non-criminal,Nonimmigrant Admissions.Birth,Nonimmigrant Admissions.Last Residence,Year
-1,-1,-1,Guernsey,-1,-1,-1,-1,-1,-1,-1,-1,-1,2007
15,9,-1,Turkmenistan,-1,12,-1,217,-1,58,-1,750,671,2007
-1,-1,-1,Other South America,-1,-1,-1,-1,10,-1,-1,-1,-1,2007
65,222,-1,Serbia and Montenegro,32,152,154,3586,-1,3382,105,4785,2339,2007
53,64,0,Unknown,4,84,689,1394,-1,648,39,153727,739283,2007
-1,55,-1,Lithuania,14,4,114,1361,-1,819,63,14569,12582,2007
11,79,15,Cambodia,17,13,52,4246,-1,4197,12,3851,3890,2007
514,144,1028,Ethiopia,78,352,170,12786,11340,5165,72,10964,8971,2007
-1,-1,-1,Aruba,-1,-1,-1,55,-1,36,-1,-1,26222,2007
-1,-1,-1,Swaziland,-1,-1,-1,13,-1,4,-1,406,440,2007
-1,227,-1,Argentina,76,15,297,5645,5375,2348,319,337511,318743,2007
3,189,-1,Bolivia,37,-1,355,2590,2326,1311,345,39206,36752,2007
305,79,5,Cameroon,10,205,170,3392,-1,611,53,9094,5977,2007
31,12,-1,Burkina Faso,4,20,30,238,-1,37,9,2674,2171,2007
10,239,-1,Ghana,88,8,218,7610,-1,3181,143,20903,15790,2007
-1,67,-1,Saudi Arabia,5,5,148,1171,-1,504,26,38087,42160,2007
-1,-1,-1,Saint Helena,-1,-1,-1,-1,-1,-1,-1,-1,34,2007
-1,48,-1,Cape Verde,50,-1,15,2048,-1,1223,11,2871,2226,2007
-1,-1,-1,Northern Mariana Islands,-1,-1,-1,-1,-1,-1,-1,-1,152,2007
-1,-1,-1,Slovenia,-1,-1,20,87,-1,60,-1,18922,17210,2007
539,23907,-1,Guatemala,3917,136,1391,17908,17198,8181,21981,213213,220041,2007
124,86,-1,Guinea,20,325,112,1088,-1,191,46,4619,3106,2007
25,318,3,Jordan,65,16,293,3917,5516,2125,147,27075,21117,2007
