acquisition date,birth.location,birth.year,creation decade,creation year,credit,death.location,death.year,depth,gender,height,medium,name,role,thumbnail,title,url,width
1990,"Rostock, Deutschland",1582,1630,1630,Purchased 1990,"London, United Kingdom",1658,0.0,Male,396.0,"Graphite, ink and watercolour on paper","Cleyn, Francis",artist,http://www.tate.org.uk/art/images/work/T/T05/T05745_8.jpg,Samuels Reproach to Saul,http://www.tate.org.uk/art/artworks/cleyn-samuels-reproach-to-saul-t05745,245.0
1935,"London, United Kingdom",1807,1850,1852,Purchased 1935,"London, United Kingdom",1883,0.0,Male,914.0,Oil paint on canvas,"Clint, Alfred",artist,http://www.tate.org.uk/art/images/work/N/N04/N04809_8.jpg,Hampstead from the South-East,http://www.tate.org.uk/art/artworks/clint-hampstead-from-the-south-east-n04809,610.0
1847,"London, United Kingdom",1770,1830,1830,Presented by Robert Vernon 1847,Kensington,1854,0.0,Male,641.0,Oil paint on canvas,"Clint, George",artist,http://www.tate.org.uk/art/images/work/N/N00/N00377_8.jpg,Falstaffs Assignation with Mrs Ford,http://www.tate.org.uk/art/artworks/clint-falstaffs-assignation-with-mrs-ford-n00377,768.0
1975,,1931,1960,1961,Presented by Curwen Studio through the Institute of Contemporary Prints 1975,"Dunbar, United Kingdom",2005,0.0,Female,762.0,Lithograph on paper,"Clinton, Margery",artist,,"Charlotte Square, Edinburgh",http://www.tate.org.uk/art/artworks/clinton-charlotte-square-edinburgh-p06073,508.0
1980,"Monroe, United States",1940,1970,1977,Purchased 1980,,0,0.0,Male,902.0,Etching on paper,"Close, Chuck",artist,,Self-Portrait Etching,http://www.tate.org.uk/art/artworks/close-self-portrait-etching-p07387,1131.0
2010,"London, United Kingdom",1919,1990,1993,Bequeathed from the Estate of Karel and Betsy Reisz 2010,"London, United Kingdom",1999,0.0,Female,1880.0,Oil paint on canvas,"Clough, Prunella",artist,http://www.tate.org.uk/art/images/work/T/T13/T13200_8.jpg,Stack,http://www.tate.org.uk/art/artworks/clough-stack-t13200,1510.0
2012,"Bournemouth, United Kingdom",1947,1980,1985,Presented by the Shelagh Cluett Trust 2011,"London, United Kingdom",2007,175.0,Female,230.0,Painted aluminium,"Cluett, Shelagh",artist,http://www.tate.org.uk/art/images/work/T/T13/T13601_8.jpg,No Title,http://www.tate.org.uk/art/artworks/cluett-no-title-t13601,540.0
1938,"Melbourne, Australia",1869,1900,1903,Presented by the artist's widow 1938,"London, United Kingdom",1930,0.0,Male,908.0,Oil paint on canvas,"Coates, George",artist,http://www.tate.org.uk/art/images/work/N/N04/N04928_8.jpg,The Childrens Orchestra,http://www.tate.org.uk/art/artworks/coates-the-childrens-orchestra-n04928,813.0
1892,"Birkenhead, United Kingdom",1861,1890,1892,Presented by the Trustees of the Chantrey Bequest 1892,"Anglesey, United Kingdom",1950,0.0,Male,1295.0,Watercolour on paper,"Cockram, George",artist,,Solitude,http://www.tate.org.uk/art/artworks/cockram-solitude-n01707,660.0
1995,"London, United Kingdom",1933,1990,1994,Presented by the Trustees of the Chantrey Bequest 1995,,0,0.0,Male,1833.0,Acrylic paint on canvas,"Cohen, Bernard",artist,http://www.tate.org.uk/art/images/work/T/T07/T07028_8.jpg,Out There,http://www.tate.org.uk/art/artworks/cohen-out-there-t07028,1836.0
