abandoned,air traffic control tower,belltower,bridge,casino,city,city_id,commercial,completed.year,country,country id,current,education,exhibition,floors above,government,height,hospital,hotel,id,industrial,is completed,is started,latitude,library,longitude,material,multiple,museum,name,number of purposes,observation,office,other,rank,religious,residential,retail,serviced apartments,started.year,telecommunications
False,False,False,False,False,New York City,1641,False,2019,US,163,proposed,False,False,66,False,315.16000366211,False,False,8765,False,True,True,40.755950927734,False,-74.001281738281,composite,False,False,3 Hudson Boulevard,2,False,True,False,34,False,True,False,False,2016,False
False,False,False,False,False,Atlanta,1509,False,1992,US,163,completed,False,False,55,False,311.79998779297,False,False,429,False,True,True,33.770790100098,False,-84.386016845703,composite,False,False,Bank of America Plaza,1,False,True,False,35,False,False,False,False,1991,False
False,False,False,False,False,Miami,1632,False,0,US,163,vision,False,False,93,False,311.51000976562,False,False,442,False,False,False,0,False,0,concrete,False,False,Empire World Condo Tower,1,False,False,False,36,False,True,False,False,0,False
False,False,False,False,False,Miami,1632,False,0,US,163,vision,False,False,93,False,311.5,False,True,441,False,False,False,0,False,0,concrete,False,False,Empire World Apartment Tower,2,False,False,False,37,False,True,False,False,0,False
False,False,False,False,False,Los Angeles,1611,False,1990,US,163,completed,False,False,73,False,310.29000854492,False,False,445,False,True,True,34.051040649414,False,-118.25435638428,steel,False,False,U.S. Bank Tower,1,False,True,False,38,False,False,False,False,1987,False
False,False,False,False,False,New York City,1641,False,2018,US,163,under construction,False,False,60,False,310,False,False,14315,False,True,True,40.709468841553,False,-74.012718200684,concrete,False,False,125 Greenwich Street,1,False,False,False,39,False,True,False,False,2015,False
False,False,False,False,False,Chicago,1539,False,1989,US,163,completed,False,False,60,False,306.94000244141,False,False,465,False,True,True,41.880348205566,False,-87.634750366211,composite,False,False,The Franklin - North Tower,1,False,True,False,40,False,False,False,False,1987,False
False,False,False,False,False,New York City,1641,False,2014,US,163,completed,False,False,75,False,306.07000732422,False,True,570,False,True,True,40.765441894531,False,-73.979072570801,steel/concrete,False,False,One57,2,False,False,False,41,False,True,False,False,2009,False
False,False,False,False,False,Houston,1593,False,1982,US,163,completed,False,False,75,False,305.41000366211,False,False,472,False,True,True,29.760419845581,False,-95.363906860352,composite,False,False,JPMorgan Chase Tower,1,False,True,False,42,False,False,False,False,1978,False
False,False,False,False,False,Miami,1632,False,0,US,163,vision,False,False,0,False,303.29998779297,False,False,19910,False,False,False,25.761070251465,False,-80.189308166504,concrete,False,False,Villa Magna I,1,False,False,False,43,False,True,False,False,0,False
False,False,False,False,False,Miami,1632,False,0,US,163,vision,False,False,0,False,303.29998779297,False,False,19911,False,False,False,25.761430740356,False,-80.189239501953,concrete,False,False,Villa Magna II,1,False,False,False,43,False,True,False,False,0,False
False,False,False,False,False,Chicago,1539,False,1990,US,163,completed,False,False,64,False,303.2799987793,False,False,489,False,True,True,41.885368347168,False,-87.622581481934,concrete,False,False,Two Prudential Plaza,1,False,True,False,45,False,False,False,False,1988,False
False,False,False,False,False,Houston,1593,False,1983,US,163,completed,False,False,71,False,302.36999511719,False,False,493,False,True,True,29.758449554443,False,-95.368263244629,steel,False,False,Wells Fargo Plaza,1,False,True,False,46,False,False,False,False,1979,False
False,False,False,False,False,New York City,1641,False,2014,US,163,completed,False,False,65,False,297.73001098633,False,False,545,False,True,True,40.710319519043,False,-74.012176513672,composite,False,False,4 World Trade Center,1,False,True,False,47,False,False,False,False,2008,False
False,False,False,False,False,Philadelphia,1657,False,2008,US,163,completed,False,False,57,False,296.73001098633,False,False,546,False,True,True,39.954738616943,False,-75.168479919434,composite,False,False,Comcast Center,1,False,True,False,48,False,False,False,False,2005,False
False,False,False,False,False,Chicago,1539,False,1990,US,163,completed,False,False,65,False,292.92001342773,False,False,563,False,True,True,41.877391815186,False,-87.635559082031,concrete,False,False,311 South Wacker Drive,1,False,True,False,49,False,False,False,False,1988,False
False,False,False,False,False,New York City,1641,False,1932,US,163,completed,False,False,67,False,290.17001342773,False,False,18405,False,True,True,40.706340789795,False,-74.007667541504,steel,False,False,70 Pine,1,False,True,False,50,False,False,False,False,1930,False
False,False,False,False,False,New York City,1641,False,0,US,163,vision,False,False,57,False,289.55999755859,False,False,12389,False,False,False,0,False,0,concrete,False,False,SNCI NYC Tower,1,False,False,False,51,False,True,False,False,0,False
False,False,False,False,False,Cleveland,1543,False,1991,US,163,completed,False,False,57,False,288.64999389648,False,False,585,False,True,True,41.500999450684,False,-81.693908691406,composite,False,False,Key Tower,1,False,True,False,52,False,False,False,False,1988,False
False,False,False,False,False,Philadelphia,1657,False,1987,US,163,completed,False,False,61,False,288.04000854492,False,False,593,False,True,False,39.952560424805,False,-75.16813659668,steel,False,False,One Liberty Place,1,False,True,False,53,False,False,False,False,0,False
False,False,False,False,False,New York City,1641,False,2016,US,163,architecturally topped out,False,False,67,False,285.60000610352,False,True,652,False,True,True,40.712749481201,False,-74.009078979492,concrete,False,False,30 Park Place,2,False,False,False,54,False,True,False,False,2008,False
False,False,False,False,False,Seattle,1680,False,1984,US,163,completed,False,False,76,False,284.38000488281,False,False,611,False,True,True,47.604640960693,False,-122.33059692383,composite,False,False,Columbia Center,1,False,True,False,55,False,False,False,False,1982,False
False,False,False,False,False,New York City,1641,False,1930,US,163,completed,False,False,71,False,282.54998779297,False,False,619,False,True,True,40.706920623779,False,-74.009803771973,steel,False,False,The Trump Building,1,False,True,False,56,False,False,False,False,1929,False
False,False,False,False,False,Dallas,1554,False,1985,US,163,completed,False,False,72,False,280.7200012207,False,False,630,False,True,True,32.780040740967,False,-96.803939819336,composite,False,False,Bank of America Plaza,1,False,True,False,57,False,False,False,False,1983,False
False,False,False,False,False,New York City,1641,False,1977,US,163,completed,False,False,63,False,278.89999389648,False,False,648,False,True,True,40.758571624756,False,-73.97038269043,steel,False,False,Citigroup Center,1,False,True,False,58,False,False,False,False,1974,False
False,False,False,False,False,New York City,1641,False,2018,US,163,under construction,False,False,70,False,278.57998657227,False,False,14783,False,True,True,40.753528594971,False,-74.002899169922,concrete,False,False,15 Hudson Yards,1,False,False,False,59,False,True,False,False,2014,False
